DATE,DEXUSUK
1983-05-06,1.5769200000000000
1983-05-13,1.5670200000000000
1983-05-20,1.5564000000000000
1983-05-27,1.5826200000000000
1983-06-03,1.5842750000000000
1983-06-10,1.5733800000000000
1983-06-17,1.5293400000000000
1983-06-24,1.5350000000000000
1983-07-01,1.5323400000000000
1983-07-08,1.5371250000000000
1983-07-15,1.5279600000000000
1983-07-22,1.5214200000000000
1983-07-29,1.5238600000000000
1983-08-05,1.4989000000000000
1983-08-12,1.4853400000000000
1983-08-19,1.5109600000000000
1983-08-26,1.5178200000000000
1983-09-02,1.4972400000000000
1983-09-09,1.4938000000000000
1983-09-16,1.4967000000000000
1983-09-23,1.5046400000000000
1983-09-30,1.4994200000000000
1983-10-07,1.4893600000000000
1983-10-14,1.5027250000000000
1983-10-21,1.5001800000000000
1983-10-28,1.4968800000000000
1983-11-04,1.4885600000000000
1983-11-11,1.4870000000000000
1983-11-18,1.4799800000000000
1983-11-25,1.4665000000000000
1983-12-02,1.4593400000000000
1983-12-09,1.4423000000000000
1983-12-16,1.4197400000000000
1983-12-23,1.4236400000000000
1983-12-30,1.4417500000000000
1984-01-06,1.4163750000000000
1984-01-13,1.4019200000000000
1984-01-20,1.4125000000000000
1984-01-27,1.4026200000000000
1984-02-03,1.4144200000000000
1984-02-10,1.4162600000000000
1984-02-17,1.4423750000000000
1984-02-24,1.4556250000000000
1984-03-02,1.4828000000000000
1984-03-09,1.4729000000000000
1984-03-16,1.4586400000000000
1984-03-23,1.4359200000000000
1984-03-30,1.4459000000000000
1984-04-06,1.4306000000000000
1984-04-13,1.4312000000000000
1984-04-20,1.4191000000000000
1984-04-27,1.4079000000000000
1984-05-04,1.4031000000000000
1984-05-11,1.3847000000000000
1984-05-18,1.3900400000000000
1984-05-25,1.3842000000000000
1984-06-01,1.3896250000000000
1984-06-08,1.3972600000000000
1984-06-15,1.3841000000000000
1984-06-22,1.3688200000000000
1984-06-29,1.3526400000000000
1984-07-06,1.3305000000000000
1984-07-13,1.3115000000000000
1984-07-20,1.3218400000000000
1984-07-27,1.3233600000000000
1984-08-03,1.3104600000000000
1984-08-10,1.3123000000000000
1984-08-17,1.3187600000000000
1984-08-24,1.3119000000000000
1984-08-31,1.3103000000000000
1984-09-07,1.2827500000000000
1984-09-14,1.2728000000000000
1984-09-21,1.2354000000000000
1984-09-28,1.2396000000000000
1984-10-05,1.2423000000000000
1984-10-12,1.22725000000000000000
1984-10-19,1.19838000000000000000
1984-10-26,1.2158000000000000
1984-11-02,1.2251000000000000
1984-11-09,1.2676750000000000
1984-11-16,1.2617500000000000
1984-11-23,1.23335000000000000000
1984-11-30,1.2015400000000000
1984-12-07,1.2042600000000000
1984-12-14,1.19674000000000000000
1984-12-21,1.17786000000000000000
1984-12-28,1.16737500000000000000
1985-01-04,1.15250000000000000000
1985-01-11,1.13770000000000000000
1985-01-18,1.11714000000000000000
1985-01-25,1.11537500000000000000
1985-02-01,1.12106000000000000000
1985-02-08,1.11274000000000000000
1985-02-15,1.09462500000000000000
1985-02-22,1.08435000000000000000
1985-03-01,1.06900000000000000000
1985-03-08,1.06512000000000000000
1985-03-15,1.08550000000000000000
1985-03-22,1.15040000000000000000
1985-03-29,1.2107000000000000
1985-04-05,1.2070000000000000
1985-04-12,1.2263000000000000
1985-04-19,1.2826600000000000
1985-04-26,1.2359000000000000
1985-05-03,1.2244000000000000
1985-05-10,1.2169600000000000
1985-05-17,1.2627000000000000
1985-05-24,1.2670000000000000
1985-05-31,1.2693750000000000
1985-06-07,1.2732000000000000
1985-06-14,1.2661600000000000
1985-06-21,1.2896800000000000
1985-06-28,1.2943000000000000
1985-07-05,1.3121750000000000
1985-07-12,1.3721000000000000
1985-07-19,1.3981400000000000
1985-07-26,1.4031600000000000
1985-08-02,1.4024600000000000
1985-08-09,1.3529000000000000
1985-08-16,1.3903000000000000
1985-08-23,1.3977600000000000
1985-08-30,1.3984600000000000
1985-09-06,1.3579500000000000
1985-09-13,1.3169000000000000
1985-09-20,1.3447000000000000
1985-09-27,1.4271000000000000
1985-10-04,1.4146000000000000
1985-10-11,1.4124000000000000
1985-10-18,1.4155750000000000
1985-10-25,1.4281000000000000
1985-11-01,1.4370400000000000
1985-11-08,1.4283000000000000
1985-11-15,1.4208750000000000
1985-11-22,1.4381000000000000
1985-11-29,1.4740250000000000
1985-12-06,1.4821000000000000
1985-12-13,1.4367000000000000
1985-12-20,1.4280000000000000
1985-12-27,1.4302500000000000
1986-01-03,1.4431250000000000
1986-01-10,1.4445600000000000
1986-01-17,1.4397000000000000
1986-01-24,1.3948250000000000
1986-01-31,1.4046000000000000
1986-02-07,1.3900000000000000
1986-02-14,1.4131600000000000
1986-02-21,1.4440750000000000
1986-02-28,1.4743000000000000
1986-03-07,1.4531000000000000
1986-03-14,1.4571600000000000
1986-03-21,1.4817400000000000
1986-03-28,1.4764000000000000
